Dateiname Messdaten,Dateiname Indizierung,Datum,Bemerkung,Drehzahl,Drehmoment,Leistung,Gaspedal ,T_vV,T_nV,T_nDK,T_Zyl1,T_Zyl2,T_n_DK,T_Umg,T_Zyl3,p_vV,p_LLNK ,p_nDK,p_nLLK,p_nT,p_n_DK,p_Umg ,mpunkt_Ltr,mpunkt_L,rel. Feuchte,T_LLK_vl,T_LLK_rl,T_Zyl4,T_LLVKAELTE,X_H2O,T_vT_neu,T_nT_neu,T_nDPF_neu,T_AGRK_neu,T_ABGVT ,T_ABGNT,T_KAT2,T_n_Wü,ATL_rpm_Analog,Lamba (errechnet),Lambda Steuergerät,Nockenwelle,p_vT,p_AGRK,p_VTG,p_n_Wü,p_nV,p_nDPF,mpunkt_Kr,T_Kr,p_Kr ,m_Kr[kg],ZZP Zyl1,ZZP Zyl2,ZZP Zyl3,ZZP Zyl4,T_Öl,p_Öl,T_KW_Lager,T_nicht benutzt,n_Turbo,T_Kaeltemasch,T_G_Warnung,T_G_Abschaltung,T_KW_vl,T_KW_rl,T_vZyl2,Schwingung Getriebeglocke,Turbo Kühlmittelstrom,Lambda BS,Compa,HC,CO,CO2,O2,NOx,FSN Mittel
-,- ,- ,-,1/min ,Nm ,kW,% ,degC,degC,degC,degC,degC,degC,degC,degC,mbar,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,kg/h,%,degC,degC,degC,degC,,degC,degC,degC,degC,degC,degC,degC,degC,-,,-,°,mbar,mbar,mbar,mbar,mbar,mbar,kg/h,degC,mbar,,°,°,°,°,degC,mbar,degC,degC,Hz,degC,degC,degC,degC,degC,degC,mm,l/min,,-,ppm,%,%,%,ppm,-
4500-002-0000_1.tsf,4500-002-0000_1.ind,16:24:28 am 12.02.2014,4500_002,4500,30.7,14.5,48.8,30.0,71.2,71.3,30.0,27.3,100.1,30.0,27.5,977.6,1009.9,1207.2,1211.7,1138.5,1007.2,1008.3,299.4,300.5,14.7,23.5,28.5,32.0,-239.9,3.9,361.3,313.1,308.3,66.6,2373.9,2373.9,NaN,2373.9,47900.8,3.4,0.0,0.0,1725.3,1060.3,996.0,992.3,1229.1,1041.5,6.2,-243.9,4961.6,0.8,0.0,0.0,0.0,0.0,107.5,5171.8,883.1,-243.9,2114.6,-17.1,53.3,46.0,88.7,89.4,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_2.tsf,4500-002-0000_2.ind,16:27:33 am 12.02.2014,4500_004,4500,62.0,29.2,54.7,30.5,84.3,83.8,30.5,27.9,100.1,30.0,28.0,971.0,1009.7,1339.8,1337.3,1175.3,1007.1,1008.0,329.2,330.5,14.7,23.5,30.5,32.5,-239.9,3.9,437.1,371.0,355.2,69.5,2373.9,2373.9,NaN,2373.9,47897.7,2.6,0.0,0.0,1925.4,1076.6,995.9,992.2,1356.3,1052.2,8.9,-243.9,4945.8,0.4,0.0,0.0,0.0,0.0,110.2,5173.8,883.1,-243.9,2383.4,-17.2,55.3,46.4,89.3,90.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_3.tsf,4500-002-0000_3.ind,16:31:34 am 12.02.2014,4500_006,4500,94.2,44.4,58.3,30.6,100.2,99.6,31.6,28.4,100.1,30.7,28.9,963.0,1009.9,1500.4,1492.4,1228.2,1006.7,1008.3,362.9,364.3,14.1,24.5,32.5,33.2,-239.9,3.9,507.7,429.3,405.2,72.7,2373.9,2373.9,NaN,2373.9,47894.5,2.1,0.0,0.0,2202.7,1100.1,995.7,991.7,1510.8,1067.9,11.9,-243.9,4949.4,0.6,0.0,0.0,0.0,0.0,113.9,5175.9,883.1,-243.9,2667.3,-17.1,56.3,47.4,88.7,90.7,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_4.tsf,4500-002-0000_4.ind,16:35:18 am 12.02.2014,4500_008,4500,125.7,59.2,63.1,30.8,120.2,119.3,33.0,29.9,100.1,31.0,30.0,952.2,1010.0,1687.0,1673.4,1288.0,1006.2,1008.3,400.4,401.9,13.9,25.1,36.5,34.5,-239.9,3.9,569.5,473.7,448.2,75.9,2373.9,2373.9,NaN,2373.9,47894.5,1.9,0.0,0.0,2568.6,1129.9,995.5,991.4,1695.0,1088.0,14.9,-243.9,4942.7,0.7,0.0,0.0,0.0,0.0,116.9,5177.0,883.1,-243.9,2982.9,-17.1,57.3,48.4,86.2,89.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_5.tsf,4500-002-0000_5.ind,16:38:48 am 12.02.2014,4500_010,4500,156.0,73.5,71.8,32.3,142.1,140.7,34.1,31.4,100.1,31.4,31.9,941.9,1009.9,1844.8,1824.9,1352.3,1005.5,1008.2,430.4,432.1,13.7,25.5,40.5,36.5,-239.9,3.9,663.3,549.5,516.0,79.9,2373.9,2373.9,NaN,2373.9,47889.8,1.6,0.0,0.0,2944.2,1165.0,995.3,991.4,1852.6,1111.7,18.6,-243.9,4930.9,0.6,0.0,0.0,0.0,0.0,119.8,5175.7,883.1,-243.9,3294.3,-17.1,58.3,48.4,88.0,91.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_6.tsf,4500-002-0000_6.ind,16:42:19 am 12.02.2014,4500_012,4500,188.4,88.8,79.3,33.1,155.0,153.5,35.0,32.0,100.1,32.0,32.5,938.2,1010.0,1916.6,1891.7,1381.0,1005.6,1008.3,442.2,443.9,13.3,25.5,42.5,37.5,-239.9,3.9,737.9,616.5,578.0,82.0,2373.9,2373.9,NaN,2373.9,47889.1,1.4,0.0,0.0,3139.5,1189.3,995.3,991.3,1922.0,1128.2,22.0,-243.9,4915.5,0.4,0.0,0.0,0.0,0.0,123.3,5174.5,883.1,-243.9,3467.5,-17.2,58.3,48.4,84.4,89.8,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
4500-002-0000_7.tsf,4500-002-0000_7.ind,16:48:18 am 12.02.2014,Volllast,4500,194.3,91.6,99.7,33.4,158.0,156.7,35.2,32.0,100.1,32.5,32.5,937.2,1010.0,1934.7,1908.2,1385.1,1005.4,1008.3,443.6,445.3,13.2,25.5,43.5,38.0,-239.9,4.0,754.5,631.8,593.0,83.0,2373.9,2373.9,NaN,2373.9,47871.9,1.4,0.0,0.0,3182.3,1193.8,995.1,991.2,1931.8,1131.5,22.7,-243.9,4910.5,0.1,0.0,0.0,0.0,0.0,124.5,5175.5,883.1,-243.9,3509.2,-17.2,59.3,49.4,84.7,90.5,-239.9,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
