phi,pZ1mean
° KW,bar
-80,3.575656414
-79,3.6487979889
-78,3.7346668243
-77,3.81685853
-76,3.9038074017
-75,3.9971356392
-74,4.0857381821
-73,4.190325737
-72,4.2895436287
-71,4.3986721039
-70,4.5159921646
-69,4.6313185692
-68,4.7540364265
-67,4.8827371597
-66,5.0157046318
-65,5.1552042961
-64,5.3027734756
-63,5.4528307915
-62,5.6133766174
-61,5.7807950974
-60,5.9582767487
-59,6.1467432976
-58,6.3392901421
-57,6.5431237221
-56,6.7588062286
-55,6.983042717
-54,7.2176823616
-53,7.4636716843
-52,7.7205243111
-51,7.9961791039
-50,8.2898778915
-49,8.5950508118
-48,8.9225292206
-47,9.2691516876
-46,9.6302165985
-45,10.0181369781
-44,10.417219162
-43,10.849773407
-42,11.3013753891
-41,11.778049469
-40,12.2924861908
-39,12.8241052628
-38,13.3950862885
-37,13.9884614944
-36,14.6220350266
-35,15.2942619324
-34,16.000043869
-33,16.7555103302
-32,17.5431575775
-31,18.4036560059
-30,19.3070220947
-29,20.2668075562
-28,21.2784080505
-27,22.3504829407
-26,23.4828224182
-25,24.6845359802
-24,25.9598655701
-23,27.2891941071
-22,28.6958293915
-21,30.1609745026
-20,31.7010688782
-19,33.3012542725
-18,34.976524353
-17,36.7035369873
-16,38.4893798828
-15,40.3076324463
-14,42.1665496826
-13,44.0134658813
-12,45.9658737183
-11,47.9184532166
-10,50.0918273926
-9,51.9734573364
-8,53.9666023254
-7,56.3435707092
-6,58.6251525879
-5,60.6558303833
-4,62.2670593262
-3,64.1194763184
-2,66.3786849976
-1,68.3262023926
0,69.2578964233
1,70.0300064087
2,70.2241516113
3,70.3124237061
4,69.602142334
5,69.0149917603
6,69.5628433228
7,72.0914001465
8,74.3328781128
9,78.8232192993
10,82.8015518188
11,87.3309402466
12,90.6320877075
13,91.6917266846
14,91.9670791626
15,90.829788208
16,89.6327896118
17,87.6364974976
18,85.4934539795
19,83.0886001587
20,80.4673614502
21,77.8524398804
22,75.0508575439
23,72.4415359497
24,69.6942367554
25,67.0813751221
26,64.3916091919
27,61.8251190186
28,59.2990341187
29,56.922870636
30,54.6065139771
31,52.3532867432
32,50.1971931458
33,48.0948944092
34,46.1087837219
35,44.2187156677
36,42.4142532349
37,40.6811943054
38,39.0221443176
39,37.4462242126
40,35.9366149902
41,34.5199279785
42,33.1601676941
43,31.8756809235
44,30.6445159912
45,29.4711418152
46,28.3609600067
47,27.306684494
48,26.3096141815
49,25.3614940643
50,24.4491596222
51,23.5848484039
52,22.7603645325
53,21.9712238312
54,21.2161312103
55,20.5016918182
56,19.818359375
57,19.1696643829
58,18.5467758179
59,17.9537715912
60,17.3912773132
61,16.8534946442
62,16.3408031464
63,15.8511295319
64,15.3813619614
65,14.9299716949
66,14.5030918121
67,14.0959072113
68,13.7050466537
69,13.3319187164
70,12.9711551666
71,12.6229715347
72,12.2908325195
73,11.9661169052
74,11.659743309
75,11.3656835556
76,11.0838241577
77,10.8141202927
78,10.552728653
79,10.3039150238
80,10.0666074753
81,9.8360805511
82,9.6157054901
83,9.4038324356
84,9.2005186081
85,9.0017118454
86,8.8132772446
87,8.6330318451
88,8.4599981308
89,8.292057991
90,8.1285943985
91,7.9735741615
92,7.8239159584
93,7.6792321205
94,7.5379195213
95,7.408018589
96,7.2796568871
97,7.1546654701
98,7.0340332985
99,6.9188933372
100,6.8047041893
101,6.6933665276
102,6.5884699821
103,6.4865837097
104,6.3898200989
105,6.2952647209
106,6.2047591209
107,6.1150536537
108,6.032186985
109,5.9509477615
110,5.8686323166
111,5.7918114662
112,5.7182078362
113,5.6462645531
114,5.5765619278
115,5.5095567703
116,5.4446997643
117,5.3804869652
118,5.3188214302
119,5.2600679398
120,5.202237606
121,5.1465806961
122,5.0939064026
123,5.0432538986
124,4.9927854538
125,4.9436979294
126,4.8987836838
127,4.8530683517
128,4.8101811409
129,4.7682728767
130,4.7288188934
131,4.6896095276
132,4.6515650749
133,4.6141986847
134,4.5776596069
135,4.5415172577
136,4.5083212852
137,4.4758315086
138,4.4441695213
139,4.4130601883
140,4.3840065002
141,4.3568553925
142,4.3292756081
143,4.3030414581
144,4.2773623466
145,4.2524218559
146,4.2270183563
147,4.202105999
148,4.1762418747
149,4.1480488777
150,4.1211118698
151,4.0921807289
152,4.0628504753
153,4.0315275192
154,3.998729229
155,3.9646770954
156,3.9285361767
157,3.8915655613
158,3.8514361382
159,3.80854702
160,3.7647345066
161,3.7180092335
162,3.668368578
163,3.6162462234
164,3.5617263317
165,3.5045723915
166,3.4448056221
167,3.3819746971
168,3.3154306412
169,3.244682312
170,3.1710524559
171,3.0953042507
172,3.0173144341
173,2.9364111423
174,2.8515195847
175,2.7648804188
176,2.6752352715
177,2.5863876343
178,2.4948384762
179,2.4033212662
180,2.3150856495
181,2.2238435745
182,2.1400568485
183,2.0570986271
184,1.9783748388
185,1.903147459
186,1.8312650919
187,1.7697213888
188,1.7053558826
189,1.6513596773
190,1.6013827324
191,1.5578787327
192,1.5270746946
193,1.5017333031
194,1.4836626053
195,1.473814249
196,1.4716660976
197,1.4735691547
198,1.4868841171
199,1.4937874079
200,1.5117042065
201,1.5275352001
202,1.5377523899
203,1.5568966866
204,1.5655483007
205,1.5723594427
206,1.5852138996
207,1.5823603868
208,1.5823603868
209,1.5796912909
210,1.568677187
211,1.5548417568
212,1.5410352945
213,1.5204179287
214,1.5025006533
215,1.4855339527
216,1.4589962959
217,1.4421527386
218,1.4238684177
219,1.4023308754
220,1.3924518824
221,1.3783394098
222,1.3656988144
223,1.3616807461
224,1.3549915552
225,1.351125598
226,1.356834054
227,1.3579983711
228,1.3598707914
229,1.3718354702
230,1.3746893406
231,1.3823274374
232,1.3947831392
233,1.3983730078
234,1.4053370953
235,1.414326787
236,1.4167197943
237,1.4180691242
238,1.4246041775
239,1.4189903736
240,1.4180079699
241,1.4174865484
242,1.4082520008
243,1.4063190222
244,1.3984956741
245,1.3889541626
246,1.3842594624
247,1.3718962669
248,1.3632762432
249,1.3552381992
250,1.343547821
251,1.3383934498
252,1.3305085897
253,1.3233920336
254,1.3198645115
255,1.3137286901
256,1.3128380775
257,1.3112120628
258,1.3124701977
259,1.3156921864
260,1.317286849
261,1.3243124485
262,1.3281778097
263,1.3363690376
264,1.3416460752
265,1.3503590822
266,1.3585197926
267,1.3628773689
268,1.3712830544
269,1.3743818998
270,1.3805178404
271,1.383585453
272,1.3845368624
273,1.3856714964
274,1.3838313818
275,1.3807018995
276,1.376008153
277,1.3700560331
278,1.3630617857
279,1.354991436
280,1.3467997313
281,1.3387004137
282,1.3294972181
283,1.3203248978
284,1.3151704073
285,1.3090643883
286,1.3073768616
287,1.3065485954
288,1.3094940186
289,1.3140655756
290,1.3222573996
291,1.3317668438
292,1.3426885605
293,1.3529367447
294,1.3632452488
295,1.374933362
296,1.3834626675
297,1.3918994665
298,1.3940471411
299,1.3966239691
300,1.3942320347
301,1.3908257484
302,1.3846893311
303,1.3756082058
304,1.3660986423
305,1.3545020819
306,1.343670845
307,1.3315210342
308,1.3213059902
309,1.3124095201
310,1.3059664965
311,1.3029288054
312,1.302683115
313,1.306610465
314,1.3139436245
315,1.3218585253
316,1.3337298632
317,1.345541954
318,1.3576616049
319,1.3659151793
320,1.3721426725
321,1.3748114109
322,1.3718358278
323,1.3693814278
324,1.3614969254
325,1.3528748751
326,1.3402643204
327,1.3269507885
328,1.3150173426
329,1.3019766808
330,1.2932329178
331,1.2883543968
332,1.2891523838
333,1.2923431396
334,1.299307704
335,1.3106296062
336,1.3255400658
337,1.3420753479
338,1.3581211567
339,1.3717741966
340,1.3830947876
341,1.3914704323
342,1.3999066353
343,1.4078838825
344,1.4164739847
345,1.4254024029
346,1.4320287704
347,1.4474290609
348,1.467586875
349,1.4950752258
350,1.5240689516
351,1.5561919212
352,1.5811026096
353,1.6067820787
354,1.6380763054
355,1.661606431
356,1.6960897446
357,1.6978700161
358,1.7034230232
359,1.6843707561
