phi,pZ1mean
° KW,bar
-79,2.9365434647
-78,3.0039782524
-77,3.0743262768
-76,3.1405348778
-75,3.2170476913
-74,3.2908022404
-73,3.3719496727
-72,3.455060482
-71,3.549156189
-70,3.6393876076
-69,3.7324404716
-68,3.833468914
-67,3.9350168705
-66,4.0425801277
-65,4.1561865807
-64,4.2719416618
-63,4.3940753937
-62,4.5235171318
-61,4.6574354172
-60,4.797794342
-59,4.9464998245
-58,5.0926275253
-57,5.2581748962
-56,5.4305968285
-55,5.6106219292
-54,5.8015761375
-53,6.0006871223
-52,6.2098011971
-51,6.4308781624
-50,6.6660075188
-49,6.9139318466
-48,7.1757817268
-47,7.4494786263
-46,7.7409625053
-45,8.0450000763
-44,8.3670797348
-43,8.7109375
-42,9.0724067688
-41,9.4555997849
-40,9.8637943268
-39,10.2924156189
-38,10.7484130859
-37,11.225271225
-36,11.7311792374
-35,12.2677078247
-34,12.8363838196
-33,13.443939209
-32,14.0817098618
-31,14.7635316849
-30,15.4797849655
-29,16.2438373566
-28,17.0455551147
-27,17.8930950165
-26,18.7888736725
-25,19.7503242493
-24,20.7638263702
-23,21.8290901184
-22,22.9523067474
-21,24.1214580536
-20,25.3478450775
-19,26.6311836243
-18,27.9686355591
-17,29.3522357941
-16,30.7778549194
-15,32.2437438965
-14,33.7414093018
-13,35.2599067688
-12,36.7538948059
-11,38.3156433105
-10,39.8275299072
-9,41.4262008667
-8,43.01795578
-7,44.4718360901
-6,45.8479499817
-5,47.1413459778
-4,48.2909965515
-3,49.3575744629
-2,50.3454399109
-1,51.2958602905
0,52.0564727783
1,52.8724861145
2,53.9327049255
3,54.377368927
4,54.4700965881
5,54.0698776245
6,53.209980011
7,52.5005111694
8,51.8451118469
9,51.9280319214
10,53.8422012329
11,60.7092170715
12,66.8921508789
13,67.7432403564
14,67.9653930664
15,67.1479949951
16,66.075012207
17,64.6508789063
18,62.7242660522
19,60.9948005676
20,58.9439849854
21,56.9288864136
22,54.7486114502
23,52.8176765442
24,50.833946228
25,48.7499542236
26,46.9192352295
27,44.8972549438
28,43.124710083
29,41.3433990479
30,39.6456604004
31,38.0222740173
32,36.4383773804
33,34.9224853516
34,33.4592399597
35,32.0917129517
36,30.7338886261
37,29.4851055145
38,28.2671508789
39,27.0993499756
40,26.0078487396
41,24.9458198547
42,23.9601631165
43,23.0021877289
44,22.1008834839
45,21.2354717255
46,20.410823822
47,19.6438884735
48,18.8893547058
49,18.1997032166
50,17.5196285248
51,16.8885116577
52,16.282453537
53,15.6991453171
54,15.1559705734
55,14.6316452026
56,14.1386156082
57,13.6572904587
58,13.2139015198
59,12.767326355
60,12.3596200943
61,11.9621963501
62,11.5883922577
63,11.2305440903
64,10.8886804581
65,10.5636034012
66,10.2484550476
67,9.9511699677
68,9.6592216492
69,9.3894815445
70,9.1260671616
71,8.8751058578
72,8.6339931488
73,8.40766716
74,8.1813411713
75,7.9727840424
76,7.7676906586
77,7.5764293671
78,7.3837580681
79,7.2082395554
80,7.0341649055
81,6.8689894676
82,6.7077312469
83,6.5535373688
84,6.4047398567
85,6.265545845
86,6.1294813156
87,5.9995231628
88,5.8701720238
89,5.7502470016
90,5.634706974
91,5.5236463547
92,5.4143037796
93,5.3127555847
94,5.2105894089
95,5.1137943268
96,5.0247621536
97,4.9392290115
98,4.8516349792
99,4.7689228058
100,4.6875319481
101,4.6103401184
102,4.5324759483
103,4.4609293938
104,4.388862133
105,4.32188797
106,4.2540540695
107,4.1934947968
108,4.1325016022
109,4.0756220818
110,4.0209202766
111,3.9658195972
112,3.914462328
113,3.8630716801
114,3.8155813217
115,3.7676889896
116,3.7205650806
117,3.6762650013
118,3.6330034733
119,3.5903291702
120,3.5492782593
121,3.5083222389
122,3.4700636864
123,3.4322965145
124,3.3968932629
125,3.3626868725
126,3.3305323124
127,3.2996389866
128,3.2698800564
129,3.2395977974
130,3.2120175362
131,3.181981802
132,3.1549236774
133,3.1304085255
134,3.1039645672
135,3.0807073116
136,3.0555214882
137,3.0330319405
138,3.0097162724
139,2.988086462
140,2.9672241211
141,2.9476799965
142,2.9288733006
143,2.9110486507
144,2.8948495388
145,2.8766863346
146,2.858309269
147,2.8432750702
148,2.8249304295
149,2.8060615063
150,2.7879915237
151,2.7691240311
152,2.7497637272
153,2.7293319702
154,2.7075786591
155,2.6842944622
156,2.662450552
157,2.6358809471
158,2.6099262238
159,2.5834512711
160,2.5547018051
161,2.5249130726
162,2.4946324825
163,2.4604234695
164,2.4258182049
165,2.3887569904
166,2.3494853973
167,2.3107078075
168,2.2695655823
169,2.224804163
