phi,pZ1mean
° KW,bar
-79,5.0817079544
-78,5.1932301521
-77,5.3160395622
-76,5.4365496635
-75,5.5665721893
-74,5.6970214844
-73,5.8356957436
-72,5.9797062874
-71,6.1293005943
-70,6.2901244164
-69,6.4518680573
-68,6.6237688065
-67,6.8006334305
-66,6.9866471291
-65,7.1810026169
-64,7.3865599632
-63,7.5977878571
-62,7.8218750954
-61,8.0552854538
-60,8.3023805618
-59,8.5676994324
-58,8.8366098404
-57,9.1233987808
-56,9.4240646362
-55,9.7374286652
-54,10.0674800873
-53,10.414560318
-52,10.7780237198
-51,11.1628103256
-50,11.5674123764
-49,11.9982824326
-48,12.4550447464
-47,12.9284324646
-46,13.4264001846
-45,13.9579515457
-44,14.5156469345
-43,15.1238136292
-42,15.7592248917
-41,16.4376144409
-40,17.1490802765
-39,17.9025115967
-38,18.703868866
-37,19.5429267883
-36,20.4410514832
-35,21.3881053925
-34,22.3917312622
-33,23.4498138428
-32,24.5726299286
-31,25.7821826935
-30,27.0611572266
-29,28.4229183197
-28,29.8506660461
-27,31.3663845062
-26,32.951210022
-25,34.6563644409
-24,36.4404296875
-23,38.3239479065
-22,40.2889709473
-21,42.3486099243
-20,44.4925193787
-19,46.7764549255
-18,49.1478767395
-17,51.5972137451
-16,54.11145401
-15,56.569316864
-14,59.244972229
-13,62.3698348999
-12,67.3575515747
-11,71.419303894
-10,75.1374664307
-9,77.4298706055
-8,80.8750228882
-7,83.1105575562
-6,87.0188598633
-5,90.3393325806
-4,93.7418823242
-3,95.7643356323
-2,97.5872344971
-1,98.9933700562
0,100.4472198486
1,100.5315704346
2,103.0397720337
3,105.5567550659
4,110.808883667
5,117.2798309326
6,124.8448257446
7,132.9990844727
8,140.2261199951
9,146.2017211914
10,150.9916534424
11,154.2242279053
12,156.2473602295
13,157.4500732422
14,157.8012390137
15,156.4119567871
16,153.8161773682
17,150.2439575195
18,145.9523773193
19,141.3578948975
20,136.5028839111
21,131.416595459
22,126.5097885132
23,121.7476959229
24,116.9689331055
25,112.2925186157
26,107.6383590698
27,103.0919113159
28,98.8865509033
29,94.8845901489
30,90.9905014038
31,87.2403640747
32,83.5970230103
33,80.1075515747
34,76.7757339478
35,73.6110610962
36,70.5805282593
37,67.6745834351
38,64.8950424194
39,62.2438659668
40,59.7555847168
41,57.4273147583
42,55.2069625854
43,53.087348938
44,51.0606651306
45,49.1274223328
46,47.3044471741
47,45.593624115
48,43.9690322876
49,42.4094200134
50,40.9247932434
51,39.5066947937
52,38.1524848938
53,36.8556900024
54,35.6151161194
55,34.4330215454
56,33.3010559082
57,32.2230682373
58,31.2000713348
59,30.2256240845
60,29.2969360352
61,28.4104537964
62,27.5625419617
63,26.7477664948
64,25.9730987549
65,25.2361106873
66,24.5308170319
67,23.852312088
68,23.2069034576
69,22.5888767242
70,21.9938087463
71,21.4175262451
72,20.8602581024
73,20.3282051086
74,19.8212280273
75,19.3359050751
76,18.869260788
77,18.4184837341
78,17.9870147705
79,17.5673065186
80,17.1699371338
81,16.786907196
82,16.4209575653
83,16.0640258789
84,15.7237510681
85,15.3951721191
86,15.0808296204
87,14.776974678
88,14.4807081223
89,14.2005062103
90,13.9279174805
91,13.6680898666
92,13.4158363342
93,13.17304039
94,12.9453344345
95,12.7200832367
96,12.5024147034
97,12.2903804779
98,12.0888156891
99,11.8936595917
100,11.7041845322
101,11.5185709
102,11.3410243988
103,11.1710319519
104,11.0088291168
105,10.8501186371
106,10.6973648071
107,10.5493021011
108,10.4081201553
109,10.2694749832
110,10.1365089417
111,10.0084543228
112,9.8834953308
113,9.7639036179
114,9.6459083557
115,9.5337142944
116,9.424156189
117,9.3171167374
118,9.2129869461
119,9.1118984222
120,9.0169143677
121,8.9238624573
122,8.8335399628
123,8.747882843
124,8.6636667252
125,8.5823898315
126,8.5033607483
127,8.4258337021
128,8.3519601822
129,8.2807502747
130,8.2127342224
131,8.1449642181
132,8.0808115005
133,8.0184698105
134,7.9573283195
135,7.8979878426
136,7.8389644623
137,7.7826018333
138,7.7273793221
139,7.6749458313
140,7.625369072
141,7.5775084496
142,7.5311198235
143,7.4845194817
144,7.4418725967
145,7.3988294601
146,7.3583922386
147,7.3173441887
148,7.2751574516
149,7.2314429283
150,7.1864619255
151,7.1387858391
152,7.0884728432
153,7.0362229347
154,6.9821662903
